cid,Iso_smiles,Type
5273,C1CC(OC1)[N+]2=CNC3=C(N=CN=C32)N,Adenosine
13463,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CCl)O)O)N,Adenosine
39148,CN(C)C1[C@H](O[C@H](C1O)N2C=NC3=C(N=CN=C32)N)CO,Adenosine
56328,C1[C@H](O[C@H](C1F)N2C=NC3=C(N=CN=C32)N)CO,Adenosine
67358,C1=NC(=C2C(=N1)N(C=[N+]2[O-])[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,Adenosine
67762,CC1(O[C@H]2[C@@H](O[C@@H](C2O1)CO)N3C=NC4=C(N=CN=C43)N)C,Adenosine
72213,CNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@H](CC(O3)CO)F,Adenosine
72266,CN(C)C1=NC=NC2=C1N=CN2[C@H]3C([C@@H]([C@H](O3)CO)O)O,Adenosine
73319,C1=NC2=C(N1[C@H]3C(C([C@H](O3)CO)O)O)N=C(OC2=O)N,Adenosine
73514,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)N=[N+]=[N-])N,Adenosine
73545,C1=CC(=C(C=C1O)O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Adenosine
97199,CSC1=NC=NC2=C1C=CN2[C@H]3[C@@H](C([C@H](O3)CO)O)O,Adenosine
98625,CSC1=NC=NC2=C1C=NN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Adenosine
98801,C1=NC(=C2C(=NN(C2=N1)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)C(=O)N)N,Adenosine
98854,C1=NC(=C2C(=N1)N(C=N2)C3[C@H]([C@@H]([C@H](O3)COC=O)O)O)N,Adenosine
99302,CSC[C@@H]1[C@H]([C@@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O,Adenosine
101418,C[C@@H]([C@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)O,Adenosine
101518,CN(C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)O,Adenosine
111261,CSC1=NC=NC2=C1N=CN2[C@H]3C(C([C@H](O3)CO)O)O,Adenosine
122088,C1[C@@H](O[C@@H](C1F)CO)N2C=NC3=C(N=C(N=C32)N)N,Adenosine
124379,C1=NC(=C2C(=N1)N(C=N2)C3[C@@H]([C@@H]([C@H](O3)CO)N=[N+]=[N-])O)N,Adenosine
124766,C1=NC(=C2C(=N1)N(C=N2)C3[C@@H](C([C@H](O3)COP(=O)(O)O)N=[N+]=[N-])O)N,Adenosine
125650,CC(C)CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2C=CN=C3N)O)O,Adenosine
125691,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)F)N,Adenosine
125734,C1=CN2C(=NN=C2C(=N1)N)C3[C@@H]([C@@H]([C@H](O3)CO)O)O,Adenosine
126915,C([C@@H]1[C@H]([C@H]([C@@H](O1)C2=C3C(=NN2)C(=NC(=N3)N)N)O)O)O,Adenosine
126916,C([C@@H]1[C@H]([C@H]([C@@H](O1)C2=C3C(=NN2)C(=NC(=N3)F)N)O)O)O,Adenosine
126945,CC1=C(N=CN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)[C@@H](C)O,Adenosine
128771,C1=CN=C(C2=C1N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CCl)O)O)N,Adenosine
150669,C1=NC(=C2C(=N1)N(C=N2)C3C(=C(C(O3)CO)O)O)N,Adenosine
152521,C1=NC2=C(N=C(N=C2N1[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)N)N,Adenosine
160283,COC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)NOC)OC)OC,Adenosine
160739,C1=NC(=C2C(=N1)N(C=N2)C3[C@@H]([C@H]([C@H](O3)CO)O)O)N,Adenosine
167821,C1=NC2=C(C(=N1)SC#N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Adenosine
171798,[3H]C1=NC(=C2C(=N1)N(C(=N2)[3H])[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,Adenosine
