ID,ALOGP,MLOGP,LOGP99,LOGPcons,ESOL,Hy,TPSA(NO),TPSA(Tot),Probability of gelator
445132,-3.2962,-2.27633097744302,-2.98909986019135,-2.85387694587812,0.285330600439417,3.04784186817465,182.93,192.74,Top 10%
92252368,-2.0988,-1.88265112355013,-2.71979980915785,-2.23375031090266,0.128902715766446,3.24409984841398,157.64,157.64,Top 10%
21826754,-2.0988,-1.88265112355013,-2.71979980915785,-2.23375031090266,0.128902715766446,3.24409984841398,157.64,157.64,Top 10%
131876227,-1.8929,-1.56544285986653,-2.37759982049465,-1.94531422678706,-0.155451926609779,2.24499973824897,146.78,146.78,Top 10%
293725,-1.596,-0.654956749867636,-1.22339985519648,-1.1581188683547,-0.646245505361835,1.29651969279551,132.51,132.51,Top 10%
25075887,-1.596,-0.654956749867636,-1.22339985519648,-1.1581188683547,-0.646245505361835,1.29651969279551,132.51,132.51,Top 10%
25075886,-2.3623,-1.37849684057698,-2.25259983539581,-1.99779889199093,-0.159507568958293,2.09366730201316,152.74,152.74,Top 10%
137202792,-3.1316,-0.806835449927642,-3.30379997193813,-2.41407847395526,-0.24475453907505,4.82161328541847,218.93,228.74,Top 10%
6323540,-3.0703,-1.82787864406165,-3.17589985579252,-2.69135949995139,-0.058321507033734,4.78047503815375,201.84,211.65,Top 10%
5698,-3.0703,-1.82787864406165,-3.17589985579252,-2.69135949995139,-0.058321507033734,4.78047503815375,201.84,211.65,Top 10%
136927403,-3.221,-0.609878644061651,-2.69879996031523,-2.17655953479229,-0.403652682854148,4.78047503815375,206.04,215.85,Top 10%
135625234,-3.221,-0.609878644061651,-2.69879996031523,-2.17655953479229,-0.403652682854148,4.78047503815375,206.04,215.85,Top 10%
135460966,-3.221,-0.609878644061651,-2.69879996031523,-2.17655953479229,-0.403652682854148,4.78047503815375,206.04,215.85,Top 10%
3036471,,-1.13377831626699,-0.724899858236313,-0.929339087251652,-1.00441867344735,2.16501389783424,199.84,209.65,Top 10%
1190,-3.2442,-1.42187864406165,-2.11309992522001,-2.25972618976055,-0.351815024306174,3.84231224135251,199.99,209.8,Top 10%
73323,-3.2442,-1.42187864406165,-2.11309992522001,-2.25972618976055,-0.351815024306174,3.84231224135251,199.99,209.8,Top 10%
122280,-3.2442,-1.42187864406165,-2.11309992522001,-2.25972618976055,-0.351815024306174,3.84231224135251,199.99,209.8,Top 10%
5271259,-1.1774,-0.269184464432855,-0.656079865992069,-0.700888110141641,-1.21139819701625,1.20339037053158,130.58,130.58,Top 10%
448231,-2.3948,-1.15144285986653,-1.4864998832345,-1.67758091436701,-0.351138845429294,2.22314825907093,145.63,155.44,Top 10%
135567131,-3.9889,-1.04745011488725,-3.81879986822605,-2.95171666103777,0.118931362760211,5.69838594433747,226.01,235.82,Top 10%
54235934,-2.4302,-0.437808084788848,-1.10539989173412,-1.32446932550766,-0.776498288097685,3.07972716114979,151.08,199.69,Top 10%
45052491,-2.0003,-0.998152600733958,-1.53849989175797,-1.51231749749731,-0.573771656736868,2.20262527986851,145.63,155.44,Top 10%
448782,-2.0003,-0.998152600733958,-1.53849989175797,-1.51231749749731,-0.573771656736868,2.20262527986851,145.63,155.44,Top 10%
54237496,-2.0003,-0.998152600733958,-1.53849989175797,-1.51231749749731,-0.573771656736868,2.20262527986851,145.63,155.44,Top 10%
3081517,-3.1965,-1.16134817549819,-2.13459987193346,-2.16414934914389,-0.289760351694143,3.96557229382929,171.31,219.92,Top 10%
150959,-3.2417,-1.65153924112662,-2.91999986022711,-2.60441303378458,0.202262645446496,3.12662954477176,184.2,194.01,Top 10%
92264349,-2.4859,-2.45061822751198,-3.10609985142946,-2.68087269298048,0.445145648928454,2.26835063788918,136.4,136.4,Top 10%
512869,-2.4859,-2.45061822751198,-3.10609985142946,-2.68087269298048,0.445145648928454,2.26835063788918,136.4,136.4,Top 10%
145681,-1.9419,-0.685442859866533,-1.3522998765111,-1.32654757879254,-0.472755980317974,1.40654454326346,150.37,150.37,Top 10%
169295,-2.8824,-0.943870292336113,-1.79379986971617,-1.87335672068409,-0.271210435845239,2.13847744039081,168.15,177.96,Top 10%
439424,-3.7425,-1.83534817549819,-2.69179984182119,-2.75654933910646,0.313785241339886,4.01075890383385,182.17,191.98,Top 10%
515216,-1.46,-0.540998900069498,-0.96449988335371,-0.988499594474403,-0.931804138577621,1.24961730917354,130.58,130.58,Top 10%
440416,-3.1611,-1.87498295057588,-2.51569986343384,-2.51726093800324,0.135599090974248,3.07972716114979,165.86,175.67,Top 10%
91669385,-1.5912,-0.700936003466788,-1.11309987306595,-1.13507862551091,-1.20097543389543,2.20262527986851,145.63,155.44,Top 10%
