cid,isosmiles,Type,MLOGP,ALOGP,ESOL,Canonical_smis
5273,C1CC(OC1)[N+]2=CNC3=C(N=CN=C32)N,Adenosine,1.191489452,-0.0718,-1.602902115,Nc1ncnc2c1[nH]c[n+]2C1CCCO1
13463,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CCl)O)O)N,Adenosine,0.684875901,-0.8165,-1.651503757,Nc1ncnc2c1ncn2C1OC(CCl)C(O)C1O
39148,CN(C)C1[C@H](O[C@H](C1O)N2C=NC3=C(N=CN=C32)N)CO,Adenosine,0.226908552,-1.342,-1.10171741,CN(C)C1C(O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1CO
56328,C1[C@H](O[C@H](C1F)N2C=NC3=C(N=CN=C32)N)CO,Adenosine,1.288860762,-0.507,-1.754097665,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)CC1F
67358,C1=NC(=C2C(=N1)N(C=[N+]2[O-])[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,Adenosine,-0.67042275,-2.8142,-0.28749717,Nc1ncnc2c1[n+]([O-])cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
67762,CC1(O[C@H]2[C@@H](O[C@@H](C2O1)CO)N3C=NC4=C(N=CN=C43)N)C,Adenosine,0.904722987,-1.2851,-1.726391045,CC1(C)OC2[C@@H](CO)O[C@@H](n3cnc4c(N)ncnc43)[C@@H]2O1
72213,CNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@H](CC(O3)CO)F,Adenosine,1.574947922,0.0483,-2.029032002,CNc1ncnc2c1ncn2[C@@H]1OC(CO)C[C@@H]1F
72266,CN(C)C1=NC=NC2=C1N=CN2[C@H]3C([C@@H]([C@H](O3)CO)O)O,Adenosine,0.226908552,-1.1113,-1.141186996,CN(C)c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)C1O
73319,C1=NC2=C(N1[C@H]3C(C([C@H](O3)CO)O)O)N=C(OC2=O)N,Adenosine,-0.40242275,-1.7634,-0.60267394,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)C(O)C2O)c(=O)o1
73514,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)N=[N+]=[N-])N,Adenosine,-0.34438463,na,-1.324441707,[N-]=[N+]=N[C@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21
73545,C1=CC(=C(C=C1O)O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Adenosine,-1.103293988,-0.5856,-0.880307175,OC[C@H]1O[C@@H](c2ccc(O)cc2O)[C@H](O)[C@@H]1O
97199,CSC1=NC=NC2=C1C=CN2[C@H]3[C@@H](C([C@H](O3)CO)O)O,Adenosine,0.090245909,0.0463,-1.689524893,CSc1ncnc2c1ccn2[C@@H]1O[C@H](CO)C(O)[C@H]1O
98625,CSC1=NC=NC2=C1C=NN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Adenosine,-0.127124099,-0.6034,-1.354926028,CSc1ncnc2c1cnn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
98801,C1=NC(=C2C(=NN(C2=N1)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)C(=O)N)N,Adenosine,-0.920404292,-2.4611,-0.32542907,NC(=O)c1nn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12
98854,C1=NC(=C2C(=N1)N(C=N2)C3[C@H]([C@@H]([C@H](O3)COC=O)O)O)N,Adenosine,-0.058864202,-1.688,-0.771251175,Nc1ncnc2c1ncn2C1O[C@H](COC=O)[C@@H](O)[C@@H]1O
99302,CSC[C@@H]1[C@H]([C@@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O,Adenosine,0.684875901,-0.8669,-1.52937037,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@@H]1O
101418,C[C@@H]([C@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)O,Adenosine,-0.054132118,-1.6426,-0.955332324,C[C@H](O)[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
101518,CN(C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)O,Adenosine,0.02704325,-1.6739,-0.920964557,CN(O)c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
111261,CSC1=NC=NC2=C1N=CN2[C@H]3C(C([C@H](O3)CO)O)O,Adenosine,-0.127124099,-0.7317,-1.325245961,CSc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C(O)C1O
