,Statistics,Pvalues,Difference_mean,Log_P
MW,0.2939786471430817,0.7687742199118759,1.0634907529722588,0.26295795478127576
AMW,-1.158621726975675,0.24661040865549033,1.0143156756791312,1.3999454804829197
Sv,0.386207242325225,0.6993431904720091,0.9939837979509173,0.3576136837428012
Se,0.7551216230537982,0.4501760101494119,0.9429963024628624,0.7981166390252439
Sp,0.5821930070872795,0.5604366830935835,1.0047201350876598,0.5790390078936234
Si,0.7320644742582623,0.4641292160767896,0.9407221380759272,0.7675922826009383
Mv,-2.2653648691613943,0.023490298305719238,1.0200294406280668,3.751167781127615
Me,-0.2478643495520101,0.8042393642289956,1.000075755492655,0.21785833740926333
Mp,-1.677407574875231,0.0934628091424498,1.0113675243327052,2.370191684998609
Mi,1.29696461974889,0.1946433605346657,0.9937721508097286,1.6365863152702507
GD,-0.4323215399162966,0.6655077340518218,1.0725385725385728,0.40720501979928947
nAT,0.7320644742582623,0.4641292160767896,0.9545454545454546,0.7675922826009383
nSK,0.20175005196093843,0.8401121312533795,1.0,0.1742199064663634
nAA,-1.0606288445946477,0.2888586085768071,1.0,1.241817954267311
nTA,1.2508503221578182,0.21098909126383536,0.8333333333333334,1.5559488470139669
nBT,0.634071591877235,0.5260341013079137,0.9888888888888889,0.6423892369620241
nBO,-0.09799288238102724,0.9219379452036464,1.0576923076923077,0.08127736224195586
nBM,-0.9626359622136206,0.3357302436628774,1.1428571428571428,1.0914472877140116
SCBO,-0.21327862635870634,0.8311096437240331,1.1083333333333334,0.18499355092407962
RBN,1.1759145885723268,0.2396290085839431,0.6666666666666666,1.4286633491847602
RBF,0.899228803025897,0.368530801392455,0.7290448343079947,0.9982309849775868
nDB,0.16140004156875074,0.871778333934971,1.0,0.1372200915915374
nTB,0.43808582711518057,0.6613240680116785,,0.41351128996655656
nAB,-1.0606288445946477,0.2888586085768071,1.0,1.241817954267311
nH,0.9741645366113885,0.3299748498753441,0.8947368421052632,1.1087388399248885
nC,0.20175005196093843,0.8401121312533795,1.0,0.1742199064663634
nN,-0.8531145054348254,0.3935958081601312,1.25,0.9324307638604171
nO,-0.4323215399162966,0.6655077340518218,1.0,0.40720501979928947
nP,0.0,1.0,,-0.0
nS,0.0,1.0,,-0.0
nF,1.539064682102016,0.12378850614882354,,2.0891807651352448
nCL,0.0,1.0,,-0.0
nBR,0.43808582711518057,0.6613240680116785,,0.41351128996655656
nI,-0.1902214775631705,0.8491355817199183,,0.1635364096376257
nB,0.0,1.0,,-0.0
nHM,0.2478643495520101,0.8042393642289956,,0.21785833740926333
nHet,0.4957286991040202,0.62008583601304,1.0,0.47789736534332705
nX,1.8330433292450978,0.06679612771139419,,2.706110168512072
H%,1.7119932980685346,0.08689790354349944,0.9471749226006189,2.443021371932763
C%,-0.5649001454906276,0.5721416847255629,1.0185399278141207,0.5583686177058942
N%,-0.6456001662750029,0.5185383296369831,1.0106382978723376,0.6567413299619065
O%,-0.760885910252682,0.4467252149176356,0.9722222222222234,0.8058116051214718
X%,1.683171862074115,0.09234182622428613,,2.382258084924438
nCsp3,1.0433359829979958,0.2967927112961586,0.75,1.214721325617953
nCsp2,-0.6225430174794672,0.5335848667781606,1.0,0.6281371453935363
nCsp,0.43808582711518057,0.6613240680116785,,0.41351128996655656
Fsp3,2.1500791251837152,0.031548956505915535,1.0,3.456214764839329
max_conj_path,-0.2651572111486619,0.7908883559462445,1.0,0.23459846410118493
nStructures,0.0,1.0,1.0,-0.0
totalcharge,0.0,1.0,,-0.0
nCIC,-1.6312932772841593,0.10282845123690323,1.0,2.274693201247992
nCIR,-0.6283073046783512,0.5298026473350219,1.0,0.6352507052993059
TRS,-1.5967075540908555,0.11033091100017063,1.0,2.204271147195424
Rperim,-1.665879000477463,0.09573751699443733,1.0,2.3461450302356712
Rbrid,1.0952145677879515,0.2734226449790055,0.5,1.2967365308398875
MCD,-2.3921791875368412,0.016748663169411978,1.0818181818181813,4.089436834677485
RFD,0.9511073878158526,0.34154986479769756,0.27999999999999975,1.074261593653581
RCI,0.9511073878158526,0.34154986479769756,0.9100000000000024,1.074261593653581
NRS,-1.5102432461075963,0.13098136746366398,1.0,2.032700198998874
NNRS,-0.9511073878158526,0.34154986479769756,1.3499999999999994,1.074261593653581
nSpiro,0.0,1.0,,-0.0
nBridgeHead,0.0,1.0,,-0.0
nR03,0.0,1.0,,-0.0
nR04,0.0,1.0,,-0.0
nR05,-1.1989717373678628,0.2305389353834909,1.0,1.4673355137452784
nR06,-1.0260431214013441,0.30487125873442045,1.0,1.1878656939951635
nR07,0.0,1.0,,-0.0
nR08,0.0,1.0,,-0.0
nR09,1.0952145677879515,0.2734226449790055,0.5,1.2967365308398875
nR10,0.0,1.0,,-0.0
nR11,0.0,1.0,,-0.0
nR12,0.0,1.0,,-0.0
nBnz,-1.0260431214013441,0.30487125873442045,,1.1878656939951635
ARR,-0.8358216438381735,0.40325524839814575,1.0909090909090913,0.9081855468150297
AP,-0.9856931110091564,0.32428373103719565,1.1000000000000014,1.1261364333250337
D/Dtr03,0.0,1.0,,-0.0
D/Dtr04,0.0,1.0,,-0.0
