cid,Iso_smiles,Type,Canonical_smiles
5273,C1CC(OC1)[N+]2=CNC3=C(N=CN=C32)N,Adenosine,Nc1ncnc2c1[nH]c[n+]2C1CCCO1
13463,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CCl)O)O)N,Adenosine,Nc1ncnc2c1ncn2C1OC(CCl)C(O)C1O
39148,CN(C)C1[C@H](O[C@H](C1O)N2C=NC3=C(N=CN=C32)N)CO,Adenosine,CN(C)C1C(O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1CO
56328,C1[C@H](O[C@H](C1F)N2C=NC3=C(N=CN=C32)N)CO,Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)CC1F
67358,C1=NC(=C2C(=N1)N(C=[N+]2[O-])[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,Adenosine,Nc1ncnc2c1[n+]([O-])cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
67762,CC1(O[C@H]2[C@@H](O[C@@H](C2O1)CO)N3C=NC4=C(N=CN=C43)N)C,Adenosine,CC1(C)OC2[C@@H](CO)O[C@@H](n3cnc4c(N)ncnc43)[C@@H]2O1
72213,CNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@H](CC(O3)CO)F,Adenosine,CNc1ncnc2c1ncn2[C@@H]1OC(CO)C[C@@H]1F
72266,CN(C)C1=NC=NC2=C1N=CN2[C@H]3C([C@@H]([C@H](O3)CO)O)O,Adenosine,CN(C)c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)C1O
73319,C1=NC2=C(N1[C@H]3C(C([C@H](O3)CO)O)O)N=C(OC2=O)N,Adenosine,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)C(O)C2O)c(=O)o1
73514,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)N=[N+]=[N-])N,Adenosine,[N-]=[N+]=N[C@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21
73545,C1=CC(=C(C=C1O)O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Adenosine,OC[C@H]1O[C@@H](c2ccc(O)cc2O)[C@H](O)[C@@H]1O
97199,CSC1=NC=NC2=C1C=CN2[C@H]3[C@@H](C([C@H](O3)CO)O)O,Adenosine,CSc1ncnc2c1ccn2[C@@H]1O[C@H](CO)C(O)[C@H]1O
98625,CSC1=NC=NC2=C1C=NN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Adenosine,CSc1ncnc2c1cnn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
98801,C1=NC(=C2C(=NN(C2=N1)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)C(=O)N)N,Adenosine,NC(=O)c1nn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12
98854,C1=NC(=C2C(=N1)N(C=N2)C3[C@H]([C@@H]([C@H](O3)COC=O)O)O)N,Adenosine,Nc1ncnc2c1ncn2C1O[C@H](COC=O)[C@@H](O)[C@@H]1O
99302,CSC[C@@H]1[C@H]([C@@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O,Adenosine,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@@H]1O
101418,C[C@@H]([C@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)O,Adenosine,C[C@H](O)[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
101518,CN(C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)O,Adenosine,CN(O)c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
111261,CSC1=NC=NC2=C1N=CN2[C@H]3C(C([C@H](O3)CO)O)O,Adenosine,CSc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C(O)C1O
122088,C1[C@@H](O[C@@H](C1F)CO)N2C=NC3=C(N=C(N=C32)N)N,Adenosine,Nc1nc(N)c2ncn([C@H]3CC(F)[C@@H](CO)O3)c2n1
124379,C1=NC(=C2C(=N1)N(C=N2)C3[C@@H]([C@@H]([C@H](O3)CO)N=[N+]=[N-])O)N,Adenosine,[N-]=[N+]=N[C@@H]1[C@@H](CO)OC(n2cnc3c(N)ncnc32)[C@@H]1O
124766,C1=NC(=C2C(=N1)N(C=N2)C3[C@@H](C([C@H](O3)COP(=O)(O)O)N=[N+]=[N-])O)N,Adenosine,[N-]=[N+]=NC1[C@@H](COP(=O)(O)O)OC(n2cnc3c(N)ncnc32)[C@@H]1O
125650,CC(C)CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2C=CN=C3N)O)O,Adenosine,CC(C)CSC[C@H]1O[C@@H](n2cnc3c(N)nccc32)[C@H](O)[C@@H]1O
125691,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)F)N,Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1F
125734,C1=CN2C(=NN=C2C(=N1)N)C3[C@@H]([C@@H]([C@H](O3)CO)O)O,Adenosine,Nc1nccn2c(C3O[C@H](CO)[C@@H](O)[C@H]3O)nnc12
126915,C([C@@H]1[C@H]([C@H]([C@@H](O1)C2=C3C(=NN2)C(=NC(=N3)N)N)O)O)O,Adenosine,Nc1nc(N)c2n[nH]c([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
126916,C([C@@H]1[C@H]([C@H]([C@@H](O1)C2=C3C(=NN2)C(=NC(=N3)F)N)O)O)O,Adenosine,Nc1nc(F)nc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)[nH]nc12
