ID,Hydrogel-forming ability,Chemdraw_smiles
Ma_2019_A,Gelator,OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C(N=CN=C32)N)O1)O)O
Ma_2019_U,Gelator,O[C@H]1[C@@H](O)[C@H](N(C(N2)=O)C=CC2=O)O[C@@H]1CO
Ma_2019_C,Gelator,O[C@H]1[C@@H](O)[C@H](N(C=CC(N)=N2)C2=O)O[C@@H]1CO
Ma_2019_G,Gelator,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@@H]([C@H](O3)CO)O)C=N2
Ma_2019_dA,Gelator,O[C@H]1C[C@H](N(C=N2)C3=C2C(N)=NC=N3)O[C@@H]1CO
Ma_2019_T,Gelator,O[C@H]1C[C@H](N(C(N2)=O)C=C(C)C2=O)O[C@@H]1CO
Ma_2019_dC,Nongelator,O[C@H]1C[C@H](N2C=CC(N)=NC2=O)O[C@@H]1CO
Ma_2019_dG,Gelator,O[C@H]1C[C@H](N(C=N2)C3=C2C(NC(N)=N3)=O)O[C@@H]1CO
Zhao_2016_1,Gelator,NC1=C(C2=NC(N1)=O)N=CN2[C@H]3[C@H](O)[C@@H]([C@H](O3)CO)O
Zhao_2016_2,Gelator,NC(NC(N=C12)=O)=C2N=CN1[C@H]3C[C@H](O)[C@@H](CO)O3
Zhao_2016_3,Gelator,NC1=C(C2=NC(N1)=O)N=CN2[C@H]3[C@H](F)[C@@H]([C@H](O3)CO)O
Zhao_2016_6,Gelator,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](F)[C@@H]([C@H](O3)CO)O)C=N2
Zhao_2017_2,Gelator,NC(NC(N=C12)=O)=C2N=NN1[C@H]3C[C@H](O)[C@@H](CO)O3
Zhao_2017_3,Nongelator,OC[C@H]1O[C@@H](N2N=NC(C3=O)=C2N=C(N3)N)C[C@@H]1O
Zhao_2017_5,Nongelator,O[C@@H]1[C@H](O[C@@H](N(C=CC2=C(N)N3)C2=NC3=O)C1)CO
Zhao_2017_6,Nongelator,O=C1C2=C(N(C=C2)[C@H]3C[C@H](O)[C@@H](CO)O3)N=C(N)N1
Wang_2022_a,Nongelator,NC1=NC(N)=C(N=CN2[C@H]3[C@H](O)[C@@H]([C@H](O3)CO)O)C2=N1
Wang_2022_b,Nongelator,NC1=NC(N)=C(N=CN2[C@H]3C[C@@H]([C@H](O3)CO)O)C2=N1
Wang_2022_c,Nongelator,NC1=NC(N)=C(N=CN2[C@H]3[C@@H](F)[C@@H]([C@H](O3)CO)O)C2=N1
Wang_2022_d,Nongelator,NC1=NC(N)=C(N=CN2[C@H]3[C@@H](O)[C@@H]([C@H](O3)CO)O)C2=N1
Wang_2022_e,Gelator,NC1=NC(N)=C(N=CN2[C@@H]3O[C@@H]([C@H]([C@H]3F)O)CO)C2=N1
Park_2003_1,Gelator,O=C1NC(C(C2=CN(N=N2)CC3=CC=CC=C3)=CN1[C@H]4C[C@@H]([C@H](O4)CO)O)=O
Park_2003_2,Gelator,O=C1NC(C(C2=CN(N=N2)CC3=C(C)C=CC=C3)=CN1[C@H]4C[C@@H]([C@H](O4)CO)O)=O
Park_2003_3,Gelator,O=C1NC(C(C2=CN(N=N2)CC3=CC=CC(C)=C3)=CN1[C@H]4C[C@@H]([C@H](O4)CO)O)=O
Park_2003_4,Gelator,O=C1NC(C(C2=CN(N=N2)CC3=CC=C(C)C=C3)=CN1[C@H]4C[C@@H]([C@H](O4)CO)O)=O
Park_2003_5,Gelator,O=C1NC(C(C2=CN(CC3=C(CC)C=CC=C3)N=N2)=CN1[C@H]4C[C@@H]([C@H](O4)CO)O)=O
Park_2003_6,Gelator,O=C1NC(C(C2=CN(CC3=CC=C(C=C3)CC)N=N2)=CN1[C@H]4C[C@H](O)[C@@H](CO)O4)=O
Park_2003_7,Gelator,O=C1NC(N(C=C1C2=CN(N=N2)CC3=CC=C(CCCC)C=C3)[C@H]4C[C@H](O)[C@@H](CO)O4)=O
Park_2007_2a,Gelator,O=C(C(C1=CN(CC2=CC=CC=C2)N=N1)=CN3[C@H]4[C@H](O)[C@@H]([C@H](O4)CO)O)NC3=O
Park_2007_2b,Gelator,O=C(C(C1=CN(CC2=CC=C(C)C=C2)N=N1)=CN3[C@H]4[C@H](O)[C@@H]([C@H](O4)CO)O)NC3=O
Park_2007_2c,Gelator,O=C(C(C1=CN(CC2=CC=C(CC)C=C2)N=N1)=CN3[C@H]4[C@H](O)[C@@H]([C@H](O4)CO)O)NC3=O
Park_2007_2d,Gelator,O=C(C(C1=CN(CC2=CC=C(CCCC)C=C2)N=N1)=CN3[C@H]4[C@H](O)[C@@H]([C@H](O4)CO)O)NC3=O
Skilling_2018_5a,Nongelator,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(OCCCCCC)=O)=N1
Skilling_2018_5b,Nongelator,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(OCCCC)=O)=N1
Skilling_2018_5c,Nongelator,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(OCC(C)C)=O)=N1
Skilling_2018_6a,Nongelator,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCCCCCCCCCCCC)=O)=N1
Skilling_2018_6b,Nongelator,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCCCCCCCCCC)=O)=N1
Skilling_2018_6c,Nongelator,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCCCCCC)=O)=N1
Skilling_2018_6d,Nongelator,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCCCC)=O)=N1
Skilling_2018_6e,Nongelator,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCC)=O)=N1
