,Mean,Se,Label,Method,X
0,0.7098095238095239,0.012400285272119,Accuracy,Logistic regression,1.0
1,0.7792982188090547,0.0087665609698504,F1 Score,Logistic regression,1.5
2,0.6649748029748029,0.0110213434569444,Precision,Logistic regression,2.0
3,0.9507142857142856,0.0102339969648984,Recall,Logistic regression,2.5
4,0.840735544217687,0.015983295593123,AUC,Logistic regression,3.0
0,0.6744761904761905,0.013051970077444,Accuracy,Random forest,6.0
1,0.7076867193693819,0.0121731684021663,F1 Score,Random forest,6.5
2,0.6917281052281052,0.0149069383888218,Precision,Random forest,7.0
3,0.7510714285714285,0.0210527156617547,Recall,Random forest,7.5
4,0.7454336734693879,0.0152925963477194,AUC,Random forest,8.0
0,0.5916190476190476,0.0155681866437343,Accuracy,Decision tree,11.0
1,0.625156449329824,0.0195124060888064,F1 Score,Decision tree,11.5
2,0.6043982128982129,0.0124761591895145,Precision,Decision tree,12.0
3,0.6878571428571427,0.0329007474637502,Recall,Decision tree,12.5
4,0.6326615646258503,0.0167497203498129,AUC,Decision tree,13.0
0,0.72,0.0138982372167273,Accuracy,Extreme gradient boosting,16.0
1,0.7442343377296936,0.0124350260519551,F1 Score,Extreme gradient boosting,16.5
2,0.7415260850260852,0.0155555152052143,Precision,Extreme gradient boosting,17.0
3,0.7642857142857143,0.017778397806648,Recall,Extreme gradient boosting,17.5
4,0.809829931972789,0.0137623645494866,AUC,Extreme gradient boosting,18.0
