,coef,index
B09[O-O],0.15537833365703718,B09[O-O]
nN(CO)2,0.13105931292425915,nN(CO)2
F05[N-N],0.09215043424801685,F05[N-N]
F07[N-O],0.08538791630711454,F07[N-O]
GATS7s,0.07740157110196463,GATS7s
CATS2D_09_DA,0.07591018227010508,CATS2D_09_DA
SpMAD_EA(ri),0.06694123696621933,SpMAD_EA(ri)
GATS6i,0.05915687193908619,GATS6i
CATS2D_05_DA,0.056972885361027285,CATS2D_05_DA
VE1sign_B(p),0.056817062452417466,VE1sign_B(p)
CATS2D_04_AA,0.05270775703905998,CATS2D_04_AA
VE1sign_Dz(v),-0.05359138443574075,VE1sign_Dz(v)
MATS3p,-0.054846661425286596,MATS3p
SpDiam_AEA(ed),-0.06812755553932982,SpDiam_AEA(ed)
CATS2D_03_DL,-0.07229015472793072,CATS2D_03_DL
SM10_AEA(dm),-0.07579603816752832,SM10_AEA(dm)
VE3sign_D/Dt,-0.08174039465720007,VE3sign_D/Dt
P_VSA_charge_7,-0.08302452325397815,P_VSA_charge_7
F10[O-O],-0.08349311788097666,F10[O-O]
CATS2D_05_DL,-0.08669292210150724,CATS2D_05_DL
CATS2D_06_DL,-0.09019192804077253,CATS2D_06_DL
C-016,-0.0987042139778102,C-016
P_VSA_charge_4,-0.10327069345651062,P_VSA_charge_4
H-052,-0.13342730962061575,H-052
