,Gelability,Density
DTT,0.6803071490069805,0.024394774947601235
XTS,0.6197503328167409,0.7238883238461918
GMP,0.6096575301183675,1.399502256962248
IMP,0.5919951253962144,3.501107031071802
5-FUR,0.5919951253962144,3.501107031071802
8-AG,0.5894719247216211,3.857881208123089
dGMP,0.5894719247216211,3.857881208123089
8-OHG,0.5894719247216211,3.857881208123089
8-AzaG,0.5869487240470277,4.211847961784218
I-5’-CA,0.5844255233724345,4.556289990741432
2’-NH2-dG,0.5844255233724345,4.556289990741432
2’-OMe-dG,0.581902322697841,4.885113780581194
