,C-016,H-052,F10[O-O],VE3sign_D/Dt,SpDiam_AEA(ed),P_VSA_charge_4,CATS2D_05_DL,SM10_AEA(dm),CATS2D_09_DA,CATS2D_06_DL,GATS7s,CATS2D_03_DL,VE1sign_B(p),B09[O-O],MATS3p,SpMAD_EA(ri),VE1sign_Dz(v),F05[N-N],P_VSA_charge_7,F07[N-O],GATS6i,CATS2D_05_DA,CATS2D_04_AA,nN(CO)2,Group
Ma_2019_A,0.0,0.0,0.0,0.6282220126951666,0.24745468093660117,0.0,0.0,0.25313119304962106,0.18181818181818182,0.0,0.2274039941273522,0.0,0.23378284879133202,0.0,0.5393500420420088,0.5485095002472207,0.34541913162499477,0.0,0.0,0.36363636363636365,0.42831908262148194,0.3333333333333333,0.41666666666666663,0.0,Published
Ma_2019_U,0.25,0.0,0.0,0.8490617033288923,0.2164190766756815,0.0,0.125,0.22061535711052804,0.09090909090909091,0.125,0.29607686410925527,0.0,0.5981310167536172,1.0,0.5366081445801874,0.5853719242038826,0.10573677851413033,0.0,0.0,0.09090909090909091,0.45087603495738177,0.3333333333333333,0.41666666666666663,0.3333333333333333,Published
Ma_2019_C,0.25,0.0,0.0,0.8490617033288923,0.2164190766756815,0.1577236234876368,0.125,0.22061535711052804,0.09090909090909091,0.125,0.25212829688364313,0.0,0.5446868607563554,0.0,0.5194403455153311,0.514168975503873,0.09021907538545705,0.0,0.06873705714906615,0.18181818181818182,0.512882028095683,0.3333333333333333,0.3333333333333333,0.0,Published
Ma_2019_G,0.0,0.0,0.0,0.6771676422919943,0.24725118282257608,0.1577236234876368,0.0,0.25546900063565237,0.2727272727272727,0.0,0.21861493062291018,0.0,0.47572615988659506,1.0,0.5892980784345021,0.6267233496371256,0.2661240613027587,0.125,0.0,0.36363636363636365,0.4916215206581283,0.41666666666666663,0.5,0.0,Published
Ma_2019_dA,0.0,0.0,0.0,0.6437427497988182,0.2163392806267892,0.0,0.0,0.22648069145296434,0.18181818181818182,0.125,0.29348591168582583,0.0,0.2701435391643605,0.0,0.571640647852974,0.5442962664059259,0.40963960359556606,0.0,0.0,0.18181818181818182,0.48132961591727946,0.08333333333333333,0.41666666666666663,0.0,Published
Ma_2019_T,0.0,0.0,0.0,0.8497809971579015,0.1442507542662168,0.0,0.0,0.1622039217188972,0.09090909090909091,0.125,0.33007683919965347,0.16666666666666666,0.46178593515639366,1.0,0.40804975177132397,0.6749968493580907,0.2373109658598411,0.0,0.06401463990916045,0.09090909090909091,0.4229708457697651,0.08333333333333333,0.41666666666666663,0.3333333333333333,Published
Ma_2019_dC,0.25,0.0,0.0,0.8602298383530815,0.13552029002964394,0.1577236234876368,0.0,0.15386261568721293,0.09090909090909091,0.25,0.3656832717810339,0.0,0.6075145765737008,0.0,0.5522098124802906,0.47568834074868604,0.1541238803409129,0.0,0.06873705714906615,0.09090909090909091,0.5957189620435726,0.08333333333333333,0.3333333333333333,0.0,Published
Ma_2019_dG,0.0,0.0,0.0,0.6978922971276024,0.21838327610653474,0.1577236234876368,0.0,0.2306361417683701,0.2727272727272727,0.25,0.3509962925227911,0.0,0.520417525432637,1.0,0.622448792118378,0.6281047700584761,0.3357063569897211,0.125,0.0,0.18181818181818182,0.5449464710894785,0.16666666666666666,0.5,0.0,Published
Zhao_2016_1,0.0,0.0,0.0,0.677167642291993,0.2472511828225734,0.1577236234876368,0.0,0.25546900063565237,0.2727272727272727,0.0,0.23387919627465695,0.0,0.5462760231771375,1.0,0.5479480862939097,0.6264496378470605,0.2349541373592127,0.0,0.0,0.36363636363636365,0.45008182179906536,0.3333333333333333,0.41666666666666663,0.0,Published
Zhao_2016_2,0.0,0.0,0.0,0.6978922971275973,0.21838327610653474,0.1577236234876368,0.0,0.2306361417683701,0.2727272727272727,0.25,0.3728681224459205,0.0,0.575263670142944,1.0,0.5791786946874036,0.6277952777332905,0.30800644980417774,0.0,0.0,0.18181818181818182,0.5019471781903435,0.08333333333333333,0.41666666666666663,0.0,Published
