,PCA1,PCA2,group
Ma_2019_A,-0.5325651218301998,0.25149706049223997,Published
Ma_2019_U,0.5827539499231995,-0.16399855649094738,Published
Ma_2019_C,-0.4606561095012927,-0.13485742103957132,Published
Ma_2019_G,0.4807724642043194,0.40164917181282667,Published
Ma_2019_dA,-0.5273243825681497,0.033115613480696346,Published
Ma_2019_T,0.5603448025756363,-0.22159447644988503,Published
Ma_2019_dC,-0.45470575722490747,-0.33419459035692006,Published
Ma_2019_dG,0.48936155490932404,0.15718504740543662,Published
Zhao_2016_1,0.4859085840461996,0.2951916539246574,Published
Zhao_2016_2,0.49220075674062036,0.05416710637008867,Published
Zhao_2016_3,0.48551863328553924,0.11328030652495626,Published
Zhao_2016_6,0.479880797919163,0.2204947052505208,Published
Zhao_2017_2,0.494200308071203,0.09987320994191787,Published
Zhao_2017_3,0.49858219897183637,0.2783327845664607,Published
Zhao_2017_5,0.5051184753000884,-0.1471498275163064,Published
Zhao_2017_6,0.4934979869855416,-0.025957668328013217,Published
Wang_2022_a,-0.5106487967200869,0.3499705750972093,Published
Wang_2022_b,-0.5015964284197673,0.07010035985104017,Published
Wang_2022_c,-0.5082853135116342,0.12627590941764025,Published
Wang_2022_d,-0.5106487967200869,0.3499705750972093,Published
Wang_2022_e,-0.5082853135116342,0.12627590941764025,Published
Park_2003_1,0.5847158024153496,0.29051773144224113,Published
Park_2003_2,0.5823368200699739,0.2881948194385354,Published
Park_2003_3,0.58208147802241,0.29688006879898554,Published
Park_2003_4,0.5824173011851009,0.3046606539470444,Published
Park_2003_5,0.5765746623727068,0.30588829666738376,Published
Park_2003_6,0.5924390693854041,0.25853005609365903,Published
Park_2003_7,0.5929891200106884,0.24565433922989605,Published
Park_2007_2a,0.5764935607040473,0.4785366644290998,Published
Park_2007_2b,0.5810159748031855,0.4630468558395996,Published
Park_2007_2c,0.5867538224168148,0.43158538627885035,Published
Park_2007_2d,0.5800428152971433,0.4345378086553655,Published
Skilling_2018_5a,-0.5018972449809398,-0.06234172468570282,Published
Skilling_2018_5b,-0.49407011735891326,-0.0724315667698602,Published
Skilling_2018_5c,-0.4797802793996616,-0.07655475867910028,Published
Skilling_2018_6a,-0.5204538997359669,-0.1250060245429631,Published
Skilling_2018_6b,-0.5195719191088772,-0.12535884795140764,Published
Skilling_2018_6c,-0.5151185189732302,-0.13095220834280052,Published
Skilling_2018_6d,-0.5102476378327533,-0.13924473057112036,Published
Skilling_2018_6e,-0.503555339988881,-0.13390606754301254,Published
Nuthanakanti_2020_3a,0.51790570028817,-0.07082867021627307,Published
Nuthanakanti_2020_3b,0.5154544379944538,-0.068038717856587,Published
Nuthanakanti_2020_3c,0.5136657031130591,-0.06635272236015452,Published
Nuthanakanti_2020_4a,0.5438706115671113,-0.12482159031953427,Published
Nuthanakanti_2020_4b,0.541600332578995,-0.12197361558091906,Published
Nuthanakanti_2020_4c,0.5399678314056208,-0.12023360951125583,Published
Seela_2011_1,-0.4487276462987376,0.3127587987967247,Published
Seela_2011_2,-0.44599084177973985,0.28586866645709547,Published
Seela_2011_3,-0.503152387754659,-0.05017754652368402,Published
Seela_2011_4,-0.4499938355762186,0.02239747255599488,Published
Seela_2011_13,-0.4578543556230053,0.1493640065952636,Published
Jung_2005,0.5834628181023679,0.2960455584509098,Published
Sreenivasachary_2005,0.48115795487436014,0.5120063027819578,Published
Buerkle_2009_b,0.48019669689429767,0.4078291508131231,Published
Buerkle_2012_8BrG,0.46075131210761444,0.3743229529914478,Published
Buerkle_2012_8OMeG,0.4791098875292851,0.573450048741328,Published
Buerkle_2012_8BrTAcG,0.4643694869564759,0.3836649552198175,Published
Buerkle_2012_8OMeTAcG,0.4879894427478031,0.5043023913184247,Published
Xiao_2018_2,-0.49531006129258975,0.21160238423163197,Published
Xiao_2018_4,-0.48625521394953264,0.15582584328949922,Published
Xiao_2018_5,-0.47994481399140826,0.24907623138821888,Published
Xiao_2019_2,0.49955723680730835,0.5960873692752573,Published
Xiao_2019_3,0.49744237243120043,0.5459152244627816,Published
Jia_2018_UC8,0.5280947368724983,0.0015112839098610086,Published
Jia_2018_UC12,0.4826216649919616,0.08055237773077752,Published
Jia_2018_UC16,0.463852526740922,0.10240351506593083,Published
Tang_2019_ArabinoC,-0.4606561095012927,-0.13485742103957132,Published
Tang_2019_DideoxyC,-0.4790039021551414,-0.3796869417047038,Published
Peters_2014_3,0.4530452634751926,0.31596333092707135,Published
Plank_2016_2,-0.49505306090726736,0.006362745631713884,Published
Du2021_L_G,0.4807724642043194,0.40164917181282667,Published
5273,-0.5499314383534297,-0.26078939683351093,Pubchem
13463,-0.5426944770576368,-0.0010873386398339941,Pubchem
39148,-0.5259715043013928,0.21622730769213055,Pubchem
56328,-0.549867755492023,0.004391107996654333,Pubchem
67358,-0.4962039263122895,0.261156340739254,Pubchem
67762,-0.5159275562252219,0.11410140534276435,Pubchem
72213,-0.5606022726076282,0.008917663679598878,Pubchem
72266,-0.5391153089799563,0.34089518060258844,Pubchem
73319,0.49223058261218133,0.3687382522221187,Pubchem
73514,-0.500379469909772,0.3034538687887752,Pubchem
73545,0.4771781578744515,-0.21915762406803346,Pubchem
97199,-0.5945738967523945,0.19246365873378182,Pubchem
98625,-0.5862413361180651,0.31108891671851796,Pubchem
98801,0.44927354150685933,0.6344775401700357,Pubchem
98854,-0.5526857031936658,0.23998563416383314,Pubchem
99302,-0.5498427972421196,-0.0005266114397299056,Pubchem
101418,-0.5291945896696335,0.23257639359518112,Pubchem
101518,0.4379222603081449,0.5988555409567333,Pubchem
111261,-0.5930650149064424,0.328171567127359,Pubchem
122088,-0.5212162582736896,0.038684608321712666,Pubchem
124379,-0.5037603726053689,0.36716411501570423,Pubchem
124766,-0.49708357292907424,0.6774237837125381,Pubchem
125650,-0.5489101877980116,-0.14565676478769113,Pubchem
125691,-0.5056288260126046,0.24656923927107435,Pubchem
125734,-0.5515321260005162,0.2690539157355134,Pubchem
126915,-0.5284738044416968,0.3528107564649314,Pubchem
126916,-0.5311830011716597,0.19437326254448176,Pubchem
126945,0.4358505197537651,0.06961687982600204,Pubchem
128771,-0.5585875709796415,-0.05473996311914524,Pubchem
150669,-0.5270060273467502,0.233631189514853,Pubchem
152521,-0.4696419902795295,0.5222002777523539,Pubchem
160283,0.42542377709280266,0.20770080981902478,Pubchem
160739,-0.5325651218301964,0.2514970604922409,Pubchem
167821,-0.5639823042970367,0.3182046105404447,Pubchem
171798,-0.5325651218301967,0.2514970604922415,Pubchem
174743,0.4146480921479909,0.3500260013715776,Pubchem
177273,-0.5322489637907758,0.06563768202559479,Pubchem
193188,-0.5282447579069449,0.1525458792386667,Pubchem
227045,-0.5291945896696335,0.23257639359518106,Pubchem
234506,-0.5489515581148547,-0.2356091331677167,Pubchem
236526,-0.540963909199403,0.36979921662622056,Pubchem
240186,-0.49324388649927425,0.3832650354478932,Pubchem
248869,-0.5577271576811655,0.12222545052128111,Pubchem
250667,-0.5420738371462639,-0.23624449501548705,Pubchem
253777,-0.5330410138194557,0.09088171542493435,Pubchem
254695,0.4550175838895027,0.17552495226474174,Pubchem
256026,-0.5375253882355687,0.05788787543534753,Pubchem
256105,-0.5071742047947638,0.3789432939406261,Pubchem
258591,-0.5363092258752792,-0.13214437334012433,Pubchem
258592,-0.5203682289716752,0.0003231829749833302,Pubchem
259345,-0.5210982468272316,0.1338321890646318,Pubchem
259661,-0.5421416475689784,-0.07887451824862506,Pubchem
260138,-0.519448921072312,0.1429008306543045,Pubchem
260472,0.4676812763838402,0.7551853158370675,Pubchem
261450,-0.5137967130647478,0.22359294759408788,Pubchem
261564,-0.5493478829477001,-0.024039988449325634,Pubchem
262974,-0.5501049533546446,-0.006072343660049326,Pubchem
265287,-0.5358787873345999,-0.0291949633050826,Pubchem
266223,-0.5401779383254154,0.03889928095573195,Pubchem
266234,-0.5382426450589984,0.1468749871617798,Pubchem
266348,0.503394525026049,0.19963556064362548,Pubchem
266482,-0.5556131334873803,0.2377835089575057,Pubchem
267352,-0.5274999290813039,0.3532185683194439,Pubchem
267645,-0.5234690151729211,0.17706729483344288,Pubchem
268420,-0.5364842375310691,-0.14757110218541067,Pubchem
269843,-0.5014551112008385,-0.07942221774853472,Pubchem
272931,-0.5212607439087531,0.21518723346654184,Pubchem
273017,-0.5375281253528971,0.3251420043782688,Pubchem
276156,-0.4963476554625785,0.11461525098883953,Pubchem
276394,-0.5711001650561746,0.024357690945103868,Pubchem
276398,-0.5780804803931748,0.06184042570137442,Pubchem
277139,-0.5311482353863476,0.3164048991107473,Pubchem
278402,-0.5147336882145793,0.4027631279042319,Pubchem
278404,-0.502572269417308,0.3994793954872576,Pubchem
278758,-0.5030901851836324,-0.026299321980562857,Pubchem
278931,-0.549458138262108,0.1944206574727242,Pubchem
