cid,Probability of nongelator,Probability of gelator,rank,%
84015621,0.764249377271299,0.2357506227287009,1,0.0
1838,0.7591249732100194,0.2408750267899806,2,0.0
42553033,0.7361834661125586,0.2638165338874413,3,0.0
42553032,0.7361834661125581,0.2638165338874418,4,0.001
71832128,0.7361834661125581,0.2638165338874418,5,0.001
42552658,0.7256064123133228,0.2743935876866772,6,0.001
42552656,0.7256064123133226,0.2743935876866774,7,0.001
134067785,0.7185477343553648,0.2814522656446352,8,0.001
71487589,0.7177894301028026,0.2822105698971974,9,0.001
42553078,0.6956652568400968,0.3043347431599031,10,0.001
42553079,0.6956652568400963,0.3043347431599036,11,0.002
121486892,0.6838659203861557,0.3161340796138442,12,0.002
121487051,0.6766823499850552,0.3233176500149448,13,0.002
59504000,0.6761189589173341,0.3238810410826659,14,0.002
59504127,0.6761189589173341,0.3238810410826659,15,0.002
59504108,0.6761189589173341,0.3238810410826659,16,0.002
387981,0.6732201277872369,0.326779872212763,17,0.002
10266777,0.6732201277872369,0.326779872212763,18,0.002
513477,0.6729048551919078,0.3270951448080922,19,0.003
71230185,0.6722030463557027,0.3277969536442973,20,0.003
71229475,0.6676341659164443,0.3323658340835557,21,0.003
452772,0.6661492954699546,0.3338507045300454,22,0.003
71412030,0.6635935906441921,0.3364064093558079,23,0.003
11565302,0.6601639728843184,0.3398360271156816,24,0.003
90348021,0.6511395743796742,0.3488604256203257,25,0.003
11776423,0.6498260463384657,0.3501739536615342,26,0.004
5273008,0.6497987888465704,0.3502012111534296,27,0.004
489881,0.6484402707580216,0.3515597292419784,28,0.004
470065,0.6470393514368229,0.3529606485631771,29,0.004
470067,0.643110992000676,0.356889007999324,30,0.004
135511113,0.6429010553335919,0.357098944666408,31,0.004
387072,0.6426138852240391,0.357386114775961,32,0.004
90487625,0.6413197853325607,0.3586802146674392,33,0.005
5276961,0.6395582987879861,0.3604417012120139,34,0.005
11723585,0.6365594684302169,0.363440531569783,35,0.005
118705336,0.6330277257933709,0.3669722742066291,36,0.005
11812423,0.6324103194343162,0.3675896805656838,37,0.005
71761460,0.6316092000882179,0.3683907999117821,38,0.005
5271015,0.6315911929766158,0.3684088070233842,39,0.005
59503999,0.6312889506356505,0.3687110493643495,40,0.006
59504014,0.6312889506356505,0.3687110493643495,41,0.006
3012551,0.630709868580565,0.3692901314194349,42,0.006
6452137,0.630337573744892,0.369662426255108,43,0.006
3011895,0.6300774448052973,0.3699225551947027,44,0.006
117647970,0.6295862568443455,0.3704137431556545,45,0.006
124223848,0.6286094470997787,0.3713905529002213,46,0.006
57453628,0.6286094470997787,0.3713905529002213,47,0.006
6481236,0.6286094470997787,0.3713905529002213,48,0.007
3011905,0.627074316175141,0.372925683824859,49,0.007
121487053,0.6270721200625009,0.3729278799374991,50,0.007
21069732,0.6265050844552765,0.3734949155447234,51,0.007
90474205,0.6250251057164015,0.3749748942835985,52,0.007
121487025,0.624934915113875,0.375065084886125,53,0.007
477852,0.6248517590385658,0.3751482409614341,54,0.007
10266797,0.6248396798570117,0.3751603201429883,55,0.008
5273492,0.6248034716586113,0.3751965283413886,56,0.008
71440728,0.6239038479004939,0.3760961520995061,57,0.008
452775,0.6233890317619099,0.3766109682380901,58,0.008
472633,0.6230970612611346,0.3769029387388653,59,0.008
12777818,0.62195397871534,0.37804602128466,60,0.008
250899,0.6218080705321486,0.3781919294678514,61,0.008
10678117,0.6212826655192777,0.3787173344807223,62,0.009
60074446,0.6211802727317985,0.3788197272682015,63,0.009
44316328,0.6207629743069834,0.3792370256930166,64,0.009
59844438,0.6207629743069834,0.3792370256930166,65,0.009
60122232,0.6207629743069834,0.3792370256930166,66,0.009
500902,0.6207629743069834,0.3792370256930166,67,0.009
92845515,0.6207629743069834,0.3792370256930166,68,0.009
13871035,0.6207629743069834,0.3792370256930166,69,0.01
13871033,0.6207629743069834,0.3792370256930167,70,0.01
3011904,0.6207035729809378,0.3792964270190622,71,0.01
476779,0.6207012227169975,0.3792987772830025,72,0.01
10708101,0.618536450544642,0.381463549455358,73,0.01
5273004,0.6184347828553944,0.3815652171446055,74,0.01
87824325,0.6182305831362737,0.3817694168637263,75,0.01
23518344,0.6163458156791588,0.3836541843208411,76,0.01
476461,0.616176385104967,0.383823614895033,77,0.011
6509777,0.6160725834237453,0.3839274165762547,78,0.011
501519,0.6158496680078813,0.3841503319921187,79,0.011
131880514,0.6157994136155981,0.3842005863844019,80,0.011
513206,0.6157788778722759,0.3842211221277241,81,0.011
3011899,0.6156716798302123,0.3843283201697877,82,0.011
