,Hydrogel-forming ability,variable,value,Descriptors,Values
0,Gelator,ALOGP,0.1178415724525235,ALOGP,0.1178415724525235
1,Gelator,ALOGP,0.07809613537279245,ALOGP,0.07809613537279245
2,Gelator,ALOGP,0.08023904529668219,ALOGP,0.08023904529668219
3,Gelator,ALOGP,0.08176309761324174,ALOGP,0.08176309761324174
4,Gelator,ALOGP,0.18862225670583022,ALOGP,0.18862225670583022
5,Gelator,ALOGP,0.19010936229956404,ALOGP,0.19010936229956404
6,Nongelator,ALOGP,0.15101972954998893,ALOGP,0.15101972954998893
7,Gelator,ALOGP,0.15254378186654843,ALOGP,0.15254378186654843
8,Gelator,ALOGP,0.079380033990985,ALOGP,0.079380033990985
9,Gelator,ALOGP,0.15016071824429175,ALOGP,0.15016071824429175
10,Gelator,ALOGP,0.1662048326313456,ALOGP,0.1662048326313456
11,Gelator,ALOGP,0.16858789625360232,ALOGP,0.16858789625360232
12,Gelator,ALOGP,0.17967191310130792,ALOGP,0.17967191310130792
13,Nongelator,ALOGP,0.16080137441808914,ALOGP,0.16080137441808914
14,Nongelator,ALOGP,0.16867102637996012,ALOGP,0.16867102637996012
15,Nongelator,ALOGP,0.22440515776250658,ALOGP,0.22440515776250658
16,Nongelator,ALOGP,0.09700362077883695,ALOGP,0.09700362077883695
17,Nongelator,ALOGP,0.16778430503214367,ALOGP,0.16778430503214367
18,Nongelator,ALOGP,0.18382841941919753,ALOGP,0.18382841941919753
19,Nongelator,ALOGP,0.09700362077883695,ALOGP,0.09700362077883695
20,Gelator,ALOGP,0.18382841941919753,ALOGP,0.18382841941919753
21,Gelator,ALOGP,0.3034157245252348,ALOGP,0.3034157245252348
22,Gelator,ALOGP,0.34832446611985546,ALOGP,0.34832446611985546
23,Gelator,ALOGP,0.34832446611985546,ALOGP,0.34832446611985546
24,Gelator,ALOGP,0.34832446611985546,ALOGP,0.34832446611985546
25,Gelator,ALOGP,0.3904622035025498,ALOGP,0.3904622035025498
26,Gelator,ALOGP,0.3904622035025498,ALOGP,0.3904622035025498
27,Gelator,ALOGP,0.47473767826793767,ALOGP,0.47473767826793767
28,Gelator,ALOGP,0.23263504027192783,ALOGP,0.23263504027192783
29,Gelator,ALOGP,0.27754378186654854,ALOGP,0.27754378186654854
30,Gelator,ALOGP,0.3196815192492429,ALOGP,0.3196815192492429
31,Gelator,ALOGP,0.4039569940146309,ALOGP,0.4039569940146309
32,Nongelator,ALOGP,0.4412085273036282,ALOGP,0.4412085273036282
33,Nongelator,ALOGP,0.35693305253824,ALOGP,0.35693305253824
34,Nongelator,ALOGP,0.34428803665114904,ALOGP,0.34428803665114904
35,Nongelator,ALOGP,0.7185213921525162,ALOGP,0.7185213921525162
36,Nongelator,ALOGP,0.6342459173871278,ALOGP,0.6342459173871278
37,Nongelator,ALOGP,0.46569496785635117,ALOGP,0.46569496785635117
38,Nongelator,ALOGP,0.38141949309096285,ALOGP,0.38141949309096285
39,Nongelator,ALOGP,0.2971440183255747,ALOGP,0.2971440183255747
40,Nongelator,ALOGP,0.595183994679672,ALOGP,0.595183994679672
41,Gelator,ALOGP,0.6794594694450602,ALOGP,0.6794594694450602
42,Gelator,ALOGP,0.7637349442104486,ALOGP,0.7637349442104486
43,Nongelator,ALOGP,0.5539514520062071,ALOGP,0.5539514520062071
44,Gelator,ALOGP,0.6382269267715954,ALOGP,0.6382269267715954
