ID,PCA1,PCA2,GEL,Kmeans,Full Name,Chemdraw_smiles,ID_index,Code
Ma_2019_A,0.0827401391728841,-0.7673967325416444,Gelator,1,Gelator 1,OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C(N=CN=C32)N)O1)O)O,0,1
Ma_2019_U,-0.12156373121487103,0.774295812945564,Gelator,0,Gelator 0,O[C@H]1[C@@H](O)[C@H](N(C(N2)=O)C=CC2=O)O[C@@H]1CO,1,0
Ma_2019_C,0.6369322212341724,-0.23243250822347475,Gelator,1,Gelator 1,O[C@H]1[C@@H](O)[C@H](N(C=CC(N)=N2)C2=O)O[C@@H]1CO,2,1
Ma_2019_G,-0.42493250981979686,-0.44655789702100285,Gelator,1,Gelator 1,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@@H]([C@H](O3)CO)O)C=N2,3,1
Ma_2019_dA,0.1900135917449896,-0.5872588941119845,Gelator,1,Gelator 1,O[C@H]1C[C@H](N(C=N2)C3=C2C(N)=NC=N3)O[C@@H]1CO,4,1
Ma_2019_T,-0.46618452265164284,0.5868505348240367,Gelator,0,Gelator 0,O[C@H]1C[C@H](N(C(N2)=O)C=C(C)C2=O)O[C@@H]1CO,5,0
Ma_2019_dC,0.5801086006930043,-0.1424561146177927,Nongelator,1,Nongelator 1,O[C@H]1C[C@H](N2C=CC(N)=NC2=O)O[C@@H]1CO,6,4
Ma_2019_dG,-0.323772317962943,-0.17804961502933309,Gelator,1,Gelator 1,O[C@H]1C[C@H](N(C=N2)C3=C2C(NC(N)=N3)=O)O[C@@H]1CO,7,1
Zhao_2016_1,-0.34864628472593273,-0.4148627559800361,Gelator,1,Gelator 1,NC1=C(C2=NC(N1)=O)N=CN2[C@H]3[C@H](O)[C@@H]([C@H](O3)CO)O,8,1
Zhao_2016_2,-0.24701573585864256,-0.14913523523965685,Gelator,1,Gelator 1,NC(NC(N=C12)=O)=C2N=CN1[C@H]3C[C@H](O)[C@@H](CO)O3,9,1
Zhao_2016_3,-0.2179906898616457,-0.3028908887607514,Gelator,1,Gelator 1,NC1=C(C2=NC(N1)=O)N=CN2[C@H]3[C@H](F)[C@@H]([C@H](O3)CO)O,10,1
Zhao_2016_6,-0.28346158324493187,-0.3438828250488802,Gelator,1,Gelator 1,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](F)[C@@H]([C@H](O3)CO)O)C=N2,11,1
Zhao_2017_2,-0.28066438531671584,-0.18145765168876526,Gelator,1,Gelator 1,NC(NC(N=C12)=O)=C2N=NN1[C@H]3C[C@H](O)[C@@H](CO)O3,12,1
Zhao_2017_3,-0.41627826900611464,-0.27615362527988213,Nongelator,1,Nongelator 1,OC[C@H]1O[C@@H](N2N=NC(C3=O)=C2N=C(N3)N)C[C@@H]1O,13,4
Zhao_2017_5,0.2678546236333531,0.46857815038181,Nongelator,0,Nongelator 0,O[C@@H]1[C@H](O[C@@H](N(C=CC2=C(N)N3)C2=NC3=O)C1)CO,14,3
Zhao_2017_6,-0.08364118760117056,0.27337505410057517,Nongelator,0,Nongelator 0,O=C1C2=C(N(C=C2)[C@H]3C[C@H](O)[C@@H](CO)O3)N=C(N)N1,15,3
Wang_2022_a,0.10092654819930487,-0.9303155849764118,Nongelator,1,Nongelator 1,NC1=NC(N)=C(N=CN2[C@H]3[C@H](O)[C@@H]([C@H](O3)CO)O)C2=N1,16,4
Wang_2022_b,0.2591313287253883,-0.6582568808340848,Nongelator,1,Nongelator 1,NC1=NC(N)=C(N=CN2[C@H]3C[C@@H]([C@H](O3)CO)O)C2=N1,17,4
Wang_2022_c,0.2842764954443474,-0.8192439233888342,Nongelator,1,Nongelator 1,NC1=NC(N)=C(N=CN2[C@H]3[C@@H](F)[C@@H]([C@H](O3)CO)O)C2=N1,18,4
Wang_2022_d,0.10092654819930465,-0.9303155849764114,Nongelator,1,Nongelator 1,NC1=NC(N)=C(N=CN2[C@H]3[C@@H](O)[C@@H]([C@H](O3)CO)O)C2=N1,19,4
Wang_2022_e,0.28427649544434735,-0.8192439233888342,Gelator,1,Gelator 1,NC1=NC(N)=C(N=CN2[C@@H]3O[C@@H]([C@H]([C@H]3F)O)CO)C2=N1,20,1
Park_2003_1,-1.3120712883119285,0.29277569292726524,Gelator,3,Gelator 3,O=C1NC(C(C2=CN(N=N2)CC3=CC=CC=C3)=CN1[C@H]4C[C@@H]([C@H](O4)CO)O)=O,21,2
Park_2003_2,-1.3148233469945019,0.33799721111648484,Gelator,3,Gelator 3,O=C1NC(C(C2=CN(N=N2)CC3=C(C)C=CC=C3)=CN1[C@H]4C[C@@H]([C@H](O4)CO)O)=O,22,2
Park_2003_3,-1.3462808150869767,0.2562773969841565,Gelator,3,Gelator 3,O=C1NC(C(C2=CN(N=N2)CC3=CC=CC(C)=C3)=CN1[C@H]4C[C@@H]([C@H](O4)CO)O)=O,23,2
Park_2003_4,-1.4313609529356048,0.31197315136671455,Gelator,3,Gelator 3,O=C1NC(C(C2=CN(N=N2)CC3=CC=C(C)C=C3)=CN1[C@H]4C[C@@H]([C@H](O4)CO)O)=O,24,2
Park_2003_5,-1.2564069580283423,0.28483854094405775,Gelator,3,Gelator 3,O=C1NC(C(C2=CN(CC3=C(CC)C=CC=C3)N=N2)=CN1[C@H]4C[C@@H]([C@H](O4)CO)O)=O,25,2
Park_2003_6,-1.3253562432350618,0.3285140267753017,Gelator,3,Gelator 3,O=C1NC(C(C2=CN(CC3=CC=C(C=C3)CC)N=N2)=CN1[C@H]4C[C@H](O)[C@@H](CO)O4)=O,26,2
Park_2003_7,-1.2063272803530278,0.4042723786523066,Gelator,3,Gelator 3,O=C1NC(N(C=C1C2=CN(N=N2)CC3=CC=C(CCCC)C=C3)[C@H]4C[C@H](O)[C@@H](CO)O4)=O,27,2
Park_2007_2a,-1.2788486527788119,0.2853624016459899,Gelator,3,Gelator 3,O=C(C(C1=CN(CC2=CC=CC=C2)N=N1)=CN3[C@H]4[C@H](O)[C@@H]([C@H](O4)CO)O)NC3=O,28,2
Park_2007_2b,-1.3604635177275586,0.3297102127250917,Gelator,3,Gelator 3,O=C(C(C1=CN(CC2=CC=C(C)C=C2)N=N1)=CN3[C@H]4[C@H](O)[C@@H]([C@H](O4)CO)O)NC3=O,29,2
Park_2007_2c,-1.2679022993823463,0.34098494240111366,Gelator,3,Gelator 3,O=C(C(C1=CN(CC2=CC=C(CC)C=C2)N=N1)=CN3[C@H]4[C@H](O)[C@@H]([C@H](O4)CO)O)NC3=O,30,2
