ID,PCA1,PCA2,GEL,Kmeans,Full Name,Chemdraw_smiles,ID_index,Code,Group
Ma_2019_A,0.0827401391728841,-0.7673967325416444,Gelator,1,Gelator 1,OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C(N=CN=C32)N)O1)O)O,0,1,Train
Ma_2019_U,-0.121563731214871,0.774295812945564,Gelator,0,Gelator 0,O[C@H]1[C@@H](O)[C@H](N(C(N2)=O)C=CC2=O)O[C@@H]1CO,1,0,Train
Ma_2019_C,0.6369322212341724,-0.2324325082234747,Gelator,1,Gelator 1,O[C@H]1[C@@H](O)[C@H](N(C=CC(N)=N2)C2=O)O[C@@H]1CO,2,1,Train
Ma_2019_G,-0.4249325098197968,-0.4465578970210028,Gelator,1,Gelator 1,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@@H]([C@H](O3)CO)O)C=N2,3,1,Train
Ma_2019_dA,0.1900135917449896,-0.5872588941119845,Gelator,1,Gelator 1,O[C@H]1C[C@H](N(C=N2)C3=C2C(N)=NC=N3)O[C@@H]1CO,4,1,Train
Ma_2019_T,-0.4661845226516428,0.5868505348240367,Gelator,0,Gelator 0,O[C@H]1C[C@H](N(C(N2)=O)C=C(C)C2=O)O[C@@H]1CO,5,0,Train
Ma_2019_dC,0.5801086006930043,-0.1424561146177927,Nongelator,1,Nongelator 1,O[C@H]1C[C@H](N2C=CC(N)=NC2=O)O[C@@H]1CO,6,4,Train
Ma_2019_dG,-0.323772317962943,-0.178049615029333,Gelator,1,Gelator 1,O[C@H]1C[C@H](N(C=N2)C3=C2C(NC(N)=N3)=O)O[C@@H]1CO,7,1,Train
Zhao_2016_2,-0.2470157358586425,-0.1491352352396568,Gelator,1,Gelator 1,NC(NC(N=C12)=O)=C2N=CN1[C@H]3C[C@H](O)[C@@H](CO)O3,9,1,Train
Zhao_2016_3,-0.2179906898616457,-0.3028908887607514,Gelator,1,Gelator 1,NC1=C(C2=NC(N1)=O)N=CN2[C@H]3[C@H](F)[C@@H]([C@H](O3)CO)O,10,1,Train
Zhao_2016_6,-0.2834615832449318,-0.3438828250488802,Gelator,1,Gelator 1,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](F)[C@@H]([C@H](O3)CO)O)C=N2,11,1,Train
Zhao_2017_3,-0.4162782690061146,-0.2761536252798821,Nongelator,1,Nongelator 1,OC[C@H]1O[C@@H](N2N=NC(C3=O)=C2N=C(N3)N)C[C@@H]1O,13,4,Train
Zhao_2017_5,0.2678546236333531,0.46857815038181,Nongelator,0,Nongelator 0,O[C@@H]1[C@H](O[C@@H](N(C=CC2=C(N)N3)C2=NC3=O)C1)CO,14,3,Train
Wang_2022_a,0.1009265481993048,-0.9303155849764118,Nongelator,1,Nongelator 1,NC1=NC(N)=C(N=CN2[C@H]3[C@H](O)[C@@H]([C@H](O3)CO)O)C2=N1,16,4,Train
Wang_2022_c,0.2842764954443474,-0.8192439233888342,Nongelator,1,Nongelator 1,NC1=NC(N)=C(N=CN2[C@H]3[C@@H](F)[C@@H]([C@H](O3)CO)O)C2=N1,18,4,Train
Wang_2022_d,0.1009265481993046,-0.9303155849764114,Nongelator,1,Nongelator 1,NC1=NC(N)=C(N=CN2[C@H]3[C@@H](O)[C@@H]([C@H](O3)CO)O)C2=N1,19,4,Train
Wang_2022_e,0.2842764954443473,-0.8192439233888342,Gelator,1,Gelator 1,NC1=NC(N)=C(N=CN2[C@@H]3O[C@@H]([C@H]([C@H]3F)O)CO)C2=N1,20,1,Train
Park_2003_1,-1.3120712883119283,0.2927756929272652,Gelator,3,Gelator 3,O=C1NC(C(C2=CN(N=N2)CC3=CC=CC=C3)=CN1[C@H]4C[C@@H]([C@H](O4)CO)O)=O,21,2,Train
Park_2003_2,-1.314823346994502,0.3379972111164848,Gelator,3,Gelator 3,O=C1NC(C(C2=CN(N=N2)CC3=C(C)C=CC=C3)=CN1[C@H]4C[C@@H]([C@H](O4)CO)O)=O,22,2,Train
